,"Episode End Value","action","Nepse Data","Stock price","Date","Normal Investor"
416,16874.3108148149,2,1327.21,434.516814814815,"2018-05-29",16204.6204620449
417,16773.4250370371,2,1322.27,433.631851851852,"2018-05-30",16171.6171617148
418,16605.2820740741,2,1307.66,430.976962962963,"2018-05-31",16072.6072607247
419,16571.6534814815,2,1273.95,426.552148148148,"2018-06-03",15907.5907590746
420,16672.5392592593,2,1268.84,425.667185185185,"2018-06-04",15874.5874587446
421,16369.8819259259,2,1282.75,428.322074074074,"2018-06-06",15973.5973597346
422,16235.3675555556,2,1257.07,420.357407407407,"2018-06-07",15676.5676567644
423,16302.6247407408,2,1231.64,416.817555555556,"2018-06-10",15544.5544554443
424,16336.2533333334,2,1241.19,418.587481481482,"2018-06-11",15610.5610561043
425,16369.8819259259,2,1239.26,419.472444444444,"2018-06-12",15643.5643564343
426,16235.3675555556,2,1242.07,420.357407407407,"2018-06-13",15676.5676567644
427,16235.3675555556,2,1247.3,416.817555555556,"2018-06-14",15544.5544554443
428,16235.3675555556,2,1233.23,416.817555555556,"2018-06-17",15544.5544554443
429,16168.1103703704,2,1235.15,416.817555555556,"2018-06-18",15544.5544554443
430,16134.4817777778,2,1226.18,415.04762962963,"2018-06-19",15478.5478547842
431,16235.3675555556,2,1217.84,414.162666666667,"2018-06-20",15445.5445544542
432,16168.1103703704,2,1218.46,416.817555555556,"2018-06-21",15544.5544554443
433,16100.8531851852,2,1219.81,415.04762962963,"2018-06-24",15478.5478547842
434,15999.9674074075,2,1210.09,413.277703703704,"2018-06-25",15412.5412541241
435,16201.738962963,2,1194.8,410.622814814815,"2018-06-26",15313.5313531341
436,16201.738962963,2,1199.42,415.932592592593,"2018-06-27",15511.5511551142
437,15999.9674074075,2,1198.54,415.932592592593,"2018-06-28",15511.5511551142
438,15999.9674074075,2,1184.53,410.622814814815,"2018-07-01",15313.5313531341
439,15999.9674074075,2,1179.71,410.622814814815,"2018-07-02",15313.5313531341
440,16067.2245925926,2,1180.36,410.622814814815,"2018-07-03",15313.5313531341
441,16336.2533333334,2,1188.4,412.392740740741,"2018-07-04",15379.5379537941
442,16302.6247407408,2,1224.41,419.472444444444,"2018-07-05",15643.5643564343
443,16100.8531851852,2,1224.39,418.587481481482,"2018-07-08",15610.5610561043
444,16100.8531851852,2,1206.43,413.277703703704,"2018-07-09",15412.5412541241
445,16134.4817777778,2,1205.93,413.277703703704,"2018-07-10",15412.5412541241
446,16067.2245925926,2,1205.64,414.162666666667,"2018-07-11",15445.5445544542
447,16201.738962963,2,1191.98,412.392740740741,"2018-07-12",15379.5379537941
